CREATE TABLE `bluestar`.`ticket` (`Ticket_ID` VARCHAR(4) NOT NULL , `CCCD` VARCHAR(12) NOT NULL , `Name` VARCHAR(50) NOT NULL , `Fly_ID` VARCHAR(4) NOT NULL , `Kg_ID` VARCHAR(3) NOT NULL , `Seat_ID` VARCHAR(3) NOT NULL , `Food_ID` VARCHAR(3) NULL DEFAULT NULL , `Ticket_Price` INT(10) NOT NULL , `Mail` VARCHAR(50) NOT NULL , `Dis_ID` INT(3) NULL DEFAULT NULL , PRIMARY KEY (`Ticket_ID`), UNIQUE (`Fly_ID`, `Seat_ID`, `CCCD`,`Name`,`Mail`), UNIQUE (`Fly_ID`, `Seat_ID`)) ENGINE = InnoDB;
INSERT INTO `ticket` (`Ticket_ID`, `CCCD`, `Name`, `Fly_ID`, `Kg_ID`, `Seat_ID`, `Food_ID`, `Ticket_Price`, `Mail`, `Dis_ID`) VALUES 
('T001', '923676706826', 'Phan Bảo Thanh ', 'F09', 'K50', 'D09', 'F07', 700000, 'reqpkjcr@gmail.com', 72),
('T002', '509659544959', 'Bùi Mỹ Thành ', 'F17', 'K07', 'F17', 'F01', 1000000, 'sneujaew@gmail.com', 95),
('T003', '527636769042', 'Phùng Thành Bình ', 'F20', 'K07', 'F20', 'F09', 2000000, 'pwixydtp@gmail.com', 7),
('T004', '780579884688', 'Phan Văn Thị ', 'F28', 'K50', 'F28', 'F04', 800000, 'jvmwfudd@gmail.com', NULL),
('T005', '128717000549', 'Châu Thành Tuấn ', 'F24', 'K07', 'B24', 'F04', 700000, 'afrzbgmf@gmail.com', NULL),
('T006', '986240306308', 'Hồ Ngọc Tiến ', 'F15', 'K07', 'A15', 'F09', 2000000, 'selrinaj@gmail.com', 83),
('T007', '769996733916', 'Lê Trung Thu ', 'F11', 'K20', 'E11', 'F03', 1200000, 'pzrpuact@gmail.com', NULL),
('T008', '666518625995', 'Nguyễn Thuý Trí ', 'F18', 'K07', 'A18', 'F04', 1000000, 'nzycpaeb@gmail.com', NULL),
('T009', '281997473875', 'Trần Ngọc Thành ', 'F04', 'K20', 'F04', 'F02', 1200000, 'umqsgutn@gmail.com', 64),
('T010', '840231298539', 'Hồ Tiến Văn ', 'F10', 'K50', 'F10', 'F05', 800000, 'nppqerzc@gmail.com', NULL),
('T011', '135943326250', 'Hồ Tiến Tiến ', 'F15', 'K07', 'F15', 'F08', 700000, 'obhoelqy@gmail.com', 90),
('T012', '202492183468', 'Phùng Trọng Ngọc ', 'F27', 'K50', 'E27', 'F02', 1700000, 'bmxvuqmq@gmail.com', NULL),
('T013', '057696678701', 'Thạch Thuỳ Tuấn ', 'F10', 'K20', 'F11', 'F03', 1200000, 'avoneukh@gmail.com', 8),
('T014', '154426318154', 'Phan Mỹ Mỹ ', 'F08', 'K50', 'F08', 'F10', 700000, 'hkrgupcf@gmail.com', 27),
('T015', '653498944350', 'Huỳnh Văn Thành ', 'F15', 'K07', 'D15', 'F08', 800000, 'bzgfoagn@gmail.com', NULL),
('T016', '277130118940', 'Phạm Thuỳ Trí ', 'F22', 'K20', 'E22', 'F07', 1200000, 'zmplltbg@gmail.com', NULL),
('T017', '881787145129', 'Lê Mỹ Đăng ', 'F27', 'K20', 'B27', 'F06', 2000000, 'urocxwep@gmail.com', 65),
('T018', '174106102108', 'Lê Thiên Bình ', 'F15', 'K20', 'E15', 'F06', 1500000, 'veeufuce@gmail.com', 37),
('T019', '904958839973', 'Thạch Trung Thuỳ ', 'F27', 'K20', 'A27', 'F09', 2000000, 'knzqaqbp@gmail.com', 56),
('T020', '208542925163', 'Thạch Tiến Tiến ', 'F08', 'K20', 'D08', 'F06', 2000000, 'ezrohsev@gmail.com', 26),
('T021', '867403042930', 'Võ Đăng Mỹ ', 'F01', 'K07', 'C01', 'F04', 1700000, 'lxsinzkw@gmail.com', 60),
('T022', '459525084830', 'Hoàng Thanh Tiến ', 'F06', 'K07', 'F06', 'F08', 1700000, 'dpskbokh@gmail.com', 35),
('T023', '907345516869', 'Huỳnh Trí Khang ', 'F30', 'K20', 'D30', 'F05', 700000, 'uzqowwdi@gmail.com', NULL),
('T024', '314071500869', 'Nguyễn Mỹ Trung ', 'F06', 'K20', 'C06', 'F05', 700000, 'jmnspipq@gmail.com', 12),
('T025', '825414550162', 'Phạm Thuý Mỹ ', 'F10', 'K20', 'F12', 'F06', 2000000, 'xczbyhag@gmail.com', 50),
('T026', '171912269099', 'Võ Ngọc Tiến ', 'F30', 'K07', 'A30', 'F10', 2000000, 'zncpbvkf@gmail.com', 2),
('T027', '444113310326', 'Lê Thiên Mỹ ', 'F18', 'K50', 'B18', 'F05', 1700000, 'njiyzyxy@gmail.com', 26),
('T028', '759567832427', 'Võ Khang Khang ', 'F20', 'K50', 'D20', 'F03', 1700000, 'tpumvctw@gmail.com', NULL),
('T029', '044112052680', 'Huỳnh Tiến Bình ', 'F16', 'K07', 'C16', 'F10', 800000, 'wqivsvll@gmail.com', 2),
('T030', '203551868838', 'Châu Mỹ Thị ', 'F03', 'K50', 'A03', 'F07', 1700000, 'knmgjmak@gmail.com', NULL),
('T031', '331974449322', 'Vũ Trí Bình ', 'F05', 'K50', 'E05', 'F04', 2000000, 'fczpzvzc@gmail.com', 10),
('T032', '557425910583', 'Bùi Trọng Thu ', 'F13', 'K20', 'C13', 'F05', 2000000, 'gvfcpyec@gmail.com', NULL),
('T033', '423493662131', 'Đặng Khang Mỹ ', 'F14', 'K20', 'A14', 'F04', 1200000, 'zjtsqkgk@gmail.com', 79),
('T034', '647087038603', 'Hồ Thành Minh ', 'F15', 'K20', 'E16', 'F10', 1000000, 'gphrhidy@gmail.com', NULL),
('T035', '851131484801', 'Vũ Trung Tiến ', 'F12', 'K20', 'A12', 'F07', 1700000, 'ctwssvhg@gmail.com', 56),
('T036', '161482422113', 'Đặng Minh Trung ', 'F07', 'K50', 'F07', 'F05', 2000000, 'kdxzzkcc@gmail.com', NULL),
('T037', '437201000088', 'Phùng Thuỳ Thuý ', 'F22', 'K20', 'A22', 'F06', 2000000, 'tbtkxhdj@gmail.com', 65),
('T038', '991719754719', 'Nguyễn Minh Huy ', 'F01', 'K20', 'C02', 'F06', 1500000, 'ndixfhtw@gmail.com', NULL),
